property_type,room_type,accommodates,bedrooms,price,number_of_reviews,review_scores_rating,calculated_host_listings_count,availability_30,minimum_nights,latitude,longitude,district
20,2,1,2.0811539071168172,114.0,227,4.99,1,7,3,41.7879,-87.5878,41
11,0,2,1.0,92.0,505,4.7,1,12,32,41.90166,-87.68021,81
11,0,4,2.0,170.0,72,4.65,7,10,4,41.91196,-87.63981,66
36,2,3,1.0,329.0,15,4.93,1,21,2,41.92357,-87.64947,76
11,0,3,1.0,61.0,42,4.29,4,0,32,41.925961,-87.656364,76
11,0,6,2.0,95.0,51,4.3,4,12,32,41.92499,-87.65573,76
9,0,6,3.0,154.0,187,4.77,1,12,2,41.92137,-87.67932,14
25,2,2,2.0811539071168172,110.0,250,4.99,2,0,32,41.97303,-87.66567,83
29,2,2,2.0811539071168172,94.0,106,4.88,2,4,3,41.89615,-87.67934,81
29,2,2,2.0811539071168172,93.0,131,4.88,2,0,3,41.89615,-87.67934,81
11,0,1,1.0,105.0,17,5.0,1,0,3,41.9796,-87.66512,1
11,0,8,3.0,204.0,72,4.78,23,24,2,41.94342,-87.68121,60
11,0,10,4.0,259.0,86,4.78,23,24,32,41.91289,-87.63864,66
11,0,5,2.0,250.0,624,4.95,1,9,2,41.92918,-87.70219,50
11,0,2,1.0,100.0,313,4.9,3,9,2,41.68843,-87.60712,69
10,0,1,1.0,50.0,46,4.91,3,2,32,41.68954,-87.60786,69
11,0,2,2.0,100.0,4,5.0,3,0,32,41.68912,-87.60725,69
25,2,1,2.0811539071168172,88.0,24,4.91,1,0,2,41.92589,-87.69737,50
3,0,2,2.0,170.0,39,4.84,1,23,180,41.85923,-87.62198,58
11,0,1,1.0,48.0,30,4.9,2,0,33,42.0076,-87.6825,90
3,0,3,2.0,175.0,67,4.84,1,0,32,41.88413,-87.64315,88
20,2,1,2.0811539071168172,32.0,66,4.78,1,5,30,41.97806,-87.65676,25
11,0,6,3.0,130.0,50,4.84,2,0,32,41.82712,-87.64046,12
11,0,6,2.0,146.0,39,4.74,2,0,32,41.82741,-87.63934,12
20,2,2,2.0811539071168172,100.0,281,4.96,1,7,2,41.80774,-87.59459,44
9,0,4,2.0,175.0,706,4.9,1,5,3,41.94107,-87.65492,45
7,0,12,3.0,269.0,284,4.85,2,10,2,41.89629,-87.65704,91
11,0,3,2.0,148.0,217,4.52,1,7,8,41.88947,-87.66933,91
20,2,2,2.0811539071168172,119.0,38,4.72,1,0,32,41.86765,-87.62271,36
11,0,4,1.0,93.0,646,4.81,1,18,32,41.92518,-87.69549,50
5,0,4,1.0,101.0,392,4.92,1,8,32,41.96678,-87.6973,47
11,0,3,2.0,178.0,299,4.88,1,12,3,41.93142,-87.69989,50
29,2,2,2.0811539071168172,45.0,55,4.54,2,7,32,41.96528,-87.6831,47
20,2,2,2.0811539071168172,70.0,118,4.91,2,6,3,41.99688,-87.66449,25
3,0,4,2.0,238.0,88,4.98,1,6,4,41.94256,-87.67171,45
25,2,2,2.0811539071168172,75.0,100,4.94,2,3,2,41.99178,-87.75747,75
25,2,1,2.0811539071168172,70.0,91,4.92,2,9,2,41.99405,-87.75746,75
11,0,4,2.0,99.0,158,4.87,2,0,32,41.90437,-87.6335,66
11,0,2,1.0,120.0,770,4.7,2,10,2,41.93903,-87.65196,45
11,0,4,2.0,99.0,214,4.87,1,17,32,41.9765,-87.68144,47
11,0,4,3.0,80.0,28,4.74,4,15,32,41.93115,-87.71836,50
46,3,2,2.0811539071168172,156.0,139,4.66,15,0,1,42.01653,-87.68788,90
20,2,2,2.0811539071168172,85.0,145,4.92,1,0,2,41.92218,-87.66079,46
11,0,4,2.0,125.0,45,4.26,4,0,32,41.92546,-87.6573,76
25,2,2,2.0811539071168172,110.0,145,4.99,1,0,32,41.92708,-87.71212,50
11,0,2,1.0,128.0,454,4.92,1,1,3,41.912410736083984,-87.63896942138672,66
25,2,2,2.0811539071168172,136.0,23,4.91,1,27,32,41.88538,-87.69801,31
20,2,2,2.0811539071168172,50.0,133,4.84,1,0,32,41.9055,-87.66685,91
11,0,4,2.0,150.0,0,4.739273018648019,1,28,7,42.01612,-87.67443,72
3,0,6,3.0,257.0,407,4.94,24,3,2,41.89602,-87.65659,91
7,0,5,2.0,133.0,41,4.74,1,27,32,41.86801,-87.67877,48
25,2,2,2.0811539071168172,89.0,300,4.97,4,8,2,42.00588,-87.66853,72
25,2,2,2.0811539071168172,79.0,330,4.98,4,17,2,42.00477,-87.66842,72
25,2,2,2.0811539071168172,79.0,305,4.93,4,13,2,42.00378,-87.66807,72
11,0,4,2.0,179.0,254,4.94,4,14,2,42.00456,-87.67058,72
11,0,2,1.0,85.0,39,4.68,3,6,32,41.89395,-87.62593,70
25,2,4,1.0,45.0,6,4.17,4,0,32,41.85428,-87.70852,61
25,2,4,1.0,45.0,11,4.36,4,29,32,41.8544,-87.70852,61
29,2,1,1.0,45.0,5,4.0,4,0,32,41.85454,-87.70802,61
11,0,3,1.0,120.0,23,5.0,74,30,32,41.85395,-87.62468,58
